,PC-1,PC-2
B1.1,82.80569,-2.728639
B1.2,76.10927,-3.497617
B1.3,73.94182,-3.951375
B2.1,-4.803517,0.1409699
B2.2,-1.780237,0.1000736
B2.3,-7.766573,-0.181092
B3.1,22.89215,4.257538
B3.2,20.43973,4.119509
B3.3,26.97261,4.185774
B4.1,-9.598022,-0.2291162
B4.2,-13.26889,-0.5340842
B4.3,-14.3732,-0.6722341
B5.1,10.71311,7.518664
B5.2,19.69919,7.657856
B5.3,22.43491,7.643103
B6.1,-10.09218,-0.4647161
B6.2,-10.7062,-0.6496742
B6.3,-8.68513,-0.6432683
B7.1,-36.84064,-2.241888
B7.2,-31.17786,-1.745002
B7.3,-32.4869,-2.196963
B8.1,-23.47941,-0.9858238
B8.2,-22.85426,-1.178136
B8.3,-22.97324,-1.27171
B9.1,50.3497,-1.14473
B9.2,48.49732,-1.271882
B9.3,50.29318,-1.219637
B10.1,-59.10656,0.7060595
B10.2,-60.66405,0.5415242
B10.3,-60.27997,0.5570732
BB1.1,82.7305,-3.442056
BB1.2,80.07413,-3.030219
BB1.3,83.18567,-2.980181
BB2.1,-6.504181,-0.7771353
BB2.2,-7.340797,-0.8846419
BB2.3,-4.517869,-1.085456
BB3.1,27.82778,3.812252
BB3.2,26.31625,3.629255
BB3.3,25.70226,3.487032
BB4.1,-17.8615,-1.624491
BB4.2,-14.24893,-1.516465
BB4.3,-12.96039,-1.336319
BB5.1,6.393385,5.919391
BB5.2,-0.7734672,5.577397
BB5.3,13.19862,5.767583
BB6.1,-17.6896,-3.007303
BB6.2,-16.99159,-3.062952
BB6.3,-14.2927,-3.275038
BB7.1,-43.12574,-0.4654306
BB7.2,-45.61266,-1.073081
BB7.3,-45.77665,-1.38997
BB8.1,-26.61752,-1.438126
BB8.2,-34.33225,-1.816405
BB8.3,-41.48877,-1.699208
BB9.1,38.41115,-1.410926
BB9.2,38.35874,-1.325494
BB9.3,38.21249,-1.444661
BB10.1,-59.33335,-0.1172056
BB10.2,-58.58805,-0.2312385
BB10.3,-66.56684,-0.3794883
