,PC-1,PC-2,,,,,Distances
B1.1,82.80569,-2.728639,,77.6189266667,-3.3925436667,,4.384508415
B1.2,76.10927,-3.497617,,,,,
B1.3,73.94182,-3.951375,,,,,
B2.1,-4.803517,0.1409699,,-4.7834423333,0.0199838333,,1.6323331186
B2.2,-1.780237,0.1000736,,,,,
B2.3,-7.766573,-0.181092,,,,,
B3.1,22.89215,4.257538,,23.43483,4.187607,,3.2269150196
B3.2,20.43973,4.119509,,,,,
B3.3,26.97261,4.185774,,,,,
B4.1,-9.598022,-0.2291162,,-12.4133706667,-0.4784781667,,2.8002535879
B4.2,-13.26889,-0.5340842,,,,,
B4.3,-14.3732,-0.6722341,,,,,
B5.1,10.71311,7.518664,,17.6157366667,7.606541,,11.4930479299
B5.2,19.69919,7.657856,,,,,
B5.3,22.43491,7.643103,,,,,
B6.1,-10.09218,-0.4647161,,-9.8278366667,-0.5858862,,6.9717454242
B6.2,-10.7062,-0.6496742,,,,,
B6.3,-8.68513,-0.6432683,,,,,
B7.1,-36.84064,-2.241888,,-33.5018,-2.0612843333,,11.3883650962
B7.2,-31.17786,-1.745002,,,,,
B7.3,-32.4869,-2.196963,,,,,
B8.1,-23.47941,-0.9858238,,-23.1023033333,-1.1452232667,,11.0554634083
B8.2,-22.85426,-1.178136,,,,,
B8.3,-22.97324,-1.27171,,,,,
B9.1,50.3497,-1.14473,,49.7134,-1.212083,,11.3873882922
B9.2,48.49732,-1.271882,,,,,
B9.3,50.29318,-1.219637,,,,,
B10.1,-59.10656,0.7060595,,-60.01686,0.6015523,,1.7031615973
B10.2,-60.66405,0.5415242,,,,,
B10.3,-60.27997,0.5570732,,,,,
BB1.1,82.7305,-3.442056,,81.9967666667,-3.1508186667,,
BB1.2,80.07413,-3.030219,,,,,
BB1.3,83.18567,-2.980181,,,,,
BB2.1,-6.504181,-0.7771353,,-6.120949,-0.9157444,,
BB2.2,-7.340797,-0.8846419,,,,,
BB2.3,-4.517869,-1.085456,,,,,
BB3.1,27.82778,3.812252,,26.61543,3.6428463333,,
BB3.2,26.31625,3.629255,,,,,
BB3.3,25.70226,3.487032,,,,,
BB4.1,-17.8615,-1.624491,,-15.0236066667,-1.492425,,
BB4.2,-14.24893,-1.516465,,,,,
BB4.3,-12.96039,-1.336319,,,,,
BB5.1,6.393385,5.919391,,6.2728459333,5.7547903333,,
BB5.2,-0.7734672,5.577397,,,,,
BB5.3,13.19862,5.767583,,,,,
BB6.1,-17.6896,-3.007303,,-16.32463,-3.1150976667,,
BB6.2,-16.99159,-3.062952,,,,,
BB6.3,-14.2927,-3.275038,,,,,
BB7.1,-43.12574,-0.4654306,,-44.83835,-0.9761605333,,
BB7.2,-45.61266,-1.073081,,,,,
BB7.3,-45.77665,-1.38997,,,,,
BB8.1,-26.61752,-1.438126,,-34.14618,-1.6512463333,,
BB8.2,-34.33225,-1.816405,,,,,
BB8.3,-41.48877,-1.699208,,,,,
BB9.1,38.41115,-1.410926,,38.32746,-1.3936936667,,
BB9.2,38.35874,-1.325494,,,,,
BB9.3,38.21249,-1.444661,,,,,
BB10.1,-59.33335,-0.1172056,,-61.49608,-0.2426441333,,
BB10.2,-58.58805,-0.2312385,,,,,
BB10.3,-66.56684,-0.3794883,,,,,
