,PC-1,PC-2,PC-3,PC-4,PC-5,PC-6,PC-7
Red 1-1,-695.7938,279.901,1.492616,-8.666284,-21.58202,1.69766,-5.592703
Red 1-2,-710.5515,299.4161,-3.540097,13.72322,-2.96812,-0.8761906,-9.023912
Red 1-3,-727.7758,320.1913,-9.132679,39.97081,16.11647,-3.977813,-13.70051
Red 2-1,-756.4939,349.7362,-17.08038,67.92107,57.47497,-11.42422,-31.4398
Red 2-2,-744.1675,337.1277,-13.35212,46.85054,49.28465,-8.904612,-28.12945
Red 2-3,-745.7233,339.134,-13.9957,51.6525,48.90538,-9.093891,-28.52517
Red 3-1,-692.8444,272.2986,7.208694,-124.8328,78.02359,0.9510488,15.80038
Red 3-2,-677.4315,253.1821,11.94167,-139.6521,52.16179,3.527878,16.27566
Red 3-3,-685.2386,262.3447,9.649764,-133.8168,66.22321,2.334536,16.32253
Red 4-1,-686.2033,262.069,9.491584,-131.3198,65.70024,0.740507,4.905579
Red 4-2,-695.1786,272.3802,6.821683,-123.496,80.5363,0.1431527,8.272892
Red 4-3,-671.485,245.0184,13.80484,-145.2499,41.63695,4.775386,14.26171
Red 5-1,-727.0245,324.0362,-11.71753,96.94196,-37.30298,0.5644351,11.09565
Red 5-2,-730.7156,327.9362,-12.75519,101.5788,-33.27614,-0.1659843,11.01825
Red 5-3,-725.3167,321.5796,-11.08847,94.05714,-39.45386,0.6876418,10.20085
Red 6-1,-686.245,264.7197,7.930156,-101.0027,40.05987,1.550139,-0.9323476
Red 6-2,-692.9716,273.8526,5.77144,-95.94723,53.86245,0.8036562,0.7901285
Red 6-3,-677.809,254.0176,10.54666,-110.8716,27.36976,2.996691,-0.1007168
Red 7-1,-709.4495,294.974,-1.193725,-35.34235,40.30349,-1.737877,-14.56014
Red 7-2,-714.8126,300.2776,-2.720944,-28.84274,46.09702,-2.642262,-14.7794
Red 7-3,-710.845,295.4683,-1.46617,-32.80218,39.89251,-2.008562,-14.92762
Red 8-1,-700.9881,290.2273,-2.964734,51.96614,-62.47301,5.320809,13.52334
Red 8-2,-696.4081,284.8831,-1.493983,43.78168,-65.9747,6.222897,14.69659
Red 8-3,-706.6078,298.0381,-4.694726,56.86839,-51.93434,4.921415,17.79861
Red 9-1,-742.6707,338.6984,-14.91277,87.68195,7.712296,-4.393799,-4.227844
Red 9-2,-745.4339,340.7715,-15.54381,89.97443,10.97513,-5.152742,-6.001373
Red 9-3,-739.752,334.6695,-13.88046,82.62301,4.352098,-3.923679,-3.91318
Red 10-1,-724.6478,308.4169,-3.176439,-68.72787,104.0737,-4.914608,-1.226216
Red 10-2,-699.1414,278.7582,4.495436,-98.21494,68.89636,-0.1243693,2.508846
Red 10-3,-703.1307,284.0707,3.185883,-93.82604,75.59152,-0.6902212,2.734193
Red 11-1,-750.5425,348.5385,-17.35485,100.5507,15.0321,-7.166585,-9.784758
Red 11-2,-744.889,343.813,-15.86257,91.11626,12.44457,-5.469405,-5.307845
Red 11-3,-725.3581,322.0477,-9.934127,61.09475,-5.773556,-1.269391,-0.4064692
Red 12-1,-713.7198,301.8847,-5.468431,39.71034,-21.19364,1.647417,1.838048
Red 12-2,-713.6375,301.8992,-5.359918,38.29641,-19.75521,1.555436,0.5639703
Red 12-3,-711.7215,299.4666,-4.822905,37.06068,-23.64315,2.027982,1.242723
Red 13-1,-729.5756,323.8023,-10.99553,69.7833,-7.350066,-1.593682,-0.7054337
Red 13-2,-704.6187,291.8912,-2.739269,31.11404,-35.14155,2.240465,-3.360804
Red 13-3,-699.989,287.0681,-1.290959,23.15334,-38.42401,3.272048,-0.5907127
Red 14-1,-703.6995,294.9876,-4.057593,57.62658,-59.48283,5.069397,16.32404
Red 14-2,-698.9033,289.4544,-2.510305,49.01559,-63.01343,5.700708,15.76447
Red 14-3,-704.1389,295.4826,-4.302031,61.42969,-61.88873,4.806424,13.91524
Red 15-1,-698.1612,286.1277,-1.352178,30.95318,-49.73849,5.213422,11.78784
Red 15-2,-650.6224,224.6009,14.47903,-37.98962,-109.1051,11.16762,3.268569
Red 15-3,-655.9282,230.5112,12.8486,-31.28519,-102.7306,10.24535,3.691424
Blue 1-1,-73.23734,-310.6304,73.26973,5.821083,0.4431035,-5.428046,-1.594052
Blue 1-2,-69.79995,-311.601,74.67275,8.262805,3.198671,-3.235127,-1.046876
Blue 1-3,-73.95152,-308.6337,71.01003,4.947772,-0.1327787,-6.178212,-0.7178941
Blue 2-1,-41.68338,-320.9941,-58.16319,5.583012,7.132277,15.9646,-5.209369
Blue 2-2,-39.27207,-321.4881,-58.05622,6.991809,8.760378,18.36305,-4.864486
Blue 2-3,-42.43105,-319.9283,-54.12215,5.680095,7.097993,15.11101,-4.469467
Blue 3-1,-67.21021,-310.4689,6.71181,-0.2867654,-2.893723,-13.87016,1.074023
Blue 3-2,-73.70501,-306.3126,8.411904,-4.420666,-7.37875,-16.61003,1.227964
Blue 3-3,-67.99312,-309.4557,7.782186,-0.7446949,-3.382042,-13.87302,1.264075
Blue 4-1,-51.83094,-317.0334,11.03285,10.14658,8.65125,3.787369,-1.580951
Blue 4-2,-50.36809,-317.2912,9.968504,10.82611,9.546488,5.27171,-1.511003
Blue 4-3,-49.51902,-317.7073,9.179055,11.25819,10.06357,5.89357,-1.557611
Blue 5-1,-56.01036,-313.7738,66.35573,15.33413,12.07885,11.72218,-1.644062
Blue 5-2,-51.86119,-314.266,63.00868,16.95806,14.31288,18.55233,-1.558474
Blue 5-3,-54.07027,-313.4724,64.93496,16.03634,13.14313,15.61978,-1.402614
Blue 6-1,-53.52899,-316.6143,-30.9897,3.076315,2.697164,-4.131917,-2.336635
Blue 6-2,-54.77254,-315.8658,-30.04183,2.387878,1.961726,-4.594383,-2.194265
Blue 6-3,-57.7124,-314.1203,-27.69215,0.8201772,0.1722223,-6.119693,-1.923326
Blue 7-1,-54.31968,-312.3317,47.73261,13.20234,10.82863,9.78777,0.2453658
Blue 7-2,-52.69339,-311.83,45.56382,13.58672,11.56417,13.11192,0.6282907
Blue 7-3,-52.52187,-313.3815,47.49756,14.35963,12.11508,10.55239,0.1538332
Blue 8-1,-70.42909,-306.9897,22.35252,-0.001276812,-3.116712,-17.76768,2.907943
Blue 8-2,-72.11943,-305.6393,19.97139,-1.592637,-4.689716,-18.87337,3.587484
Blue 8-3,-72.4087,-305.4236,20.20143,-1.77506,-4.909273,-19.16133,3.683445
Blue 9-1,-60.29896,-309.2014,-62.14214,-6.458278,-5.595704,-0.3704708,-3.1713
Blue 9-2,-57.80042,-311.109,-61.65549,-4.592025,-3.690997,-0.911199,-3.14245
Blue 9-3,-56.81546,-311.3475,-61.64069,-4.056306,-3.043652,-0.03115113,-2.916387
Blue 10-1,-71.96323,-304.674,56.40582,3.525911,-0.5057891,-10.43779,3.338236
Blue 10-2,-74.43876,-303.0285,57.65963,2.089623,-2.110204,-11.74266,3.470783
Blue 10-3,-73.54897,-303.2093,55.68926,2.285357,-1.737094,-10.44037,3.505507
Blue 11-1,-76.78239,-300.8573,92.87053,5.557325,0.3541239,-3.169375,1.331682
Blue 11-2,-75.17836,-301.6118,91.97295,6.431917,1.377973,-1.626684,1.350791
Blue 11-3,-73.57968,-302.3136,91.77041,7.405437,2.456032,-0.56347,1.343928
Blue 12-1,-63.27799,-306.6963,-91.8159,-13.07393,-11.40428,-3.875299,-3.757687
Blue 12-2,-64.04863,-304.5927,-91.49755,-14.08475,-12.23196,-0.6755711,-3.178882
Blue 12-3,-64.99289,-304.066,-90.31603,-14.48268,-12.68975,-1.151767,-2.978413
Blue 13-1,-53.72578,-314.4799,0.216823,7.040282,5.849177,-2.608874,0.1270373
Blue 13-2,-57.53556,-312.3571,1.675809,4.819752,3.374396,-5.076046,0.2477084
Blue 13-3,-60.03764,-310.7501,3.107586,3.353554,1.731398,-6.379846,0.434608
Blue 14-1,-55.28942,-308.3063,-86.08354,-7.968031,-5.724061,4.866938,-2.784977
Blue 14-2,-53.72355,-308.6838,-86.99904,-7.194842,-4.804594,6.204099,-2.672728
Blue 14-3,-52.49876,-308.6458,-87.45969,-6.706049,-4.118038,8.13193,-2.40936
Blue 15-1,-75.02718,-302.7196,34.43871,-1.462287,-5.037384,-19.95326,4.123314
Blue 15-2,-512.5411,-5.895547,72.33005,-294.2343,-311.979,16.5064,-29.90762
Blue 15-3,-70.91557,-305.4204,33.91375,1.242991,-2.123839,-18.80134,3.902239
Blue 16-1,-36.51604,-325.2982,128.9612,37.9234,33.96536,34.1069,-5.126365
Blue 16-2,-85.10426,-295.9583,136.046,6.314623,-0.5354879,4.628846,-1.788505
Blue 16-3,-93.39848,-290.3611,135.7499,0.5389376,-6.683557,1.192784,-1.107053
Blue 17-1,-71.68308,-304.3981,18.19147,-1.744731,-4.558384,-18.335,4.16119
Blue 17-2,-45.44988,-320.1007,12.43694,14.77364,13.49745,-4.455323,2.43769
Blue 17-3,-45.61766,-320.4181,12.92771,14.88001,13.54461,-5.131523,2.336975
Blue 18-1,-48.98285,-315.8378,44.12248,16.32595,14.22694,10.07597,-0.5805553
Blue 18-2,-65.89855,-305.5775,48.22461,5.667311,2.657403,1.845071,0.3178878
Blue 18-3,-56.62151,-311.6271,47.88749,11.97964,9.373052,4.595222,-0.009471589
Blue 19-1,-58.17242,-310.1173,42.17456,9.926283,7.491864,3.693903,0.4339693
Blue 19-2,-54.48114,-316.401,24.74767,10.40939,8.151588,1.51888,-1.424747
Blue 19-3,-54.26313,-315.9525,25.90977,10.60979,8.418852,2.243069,-1.224231
Blue 20-1,-60.42356,-312.0951,13.70279,4.806758,2.651396,-5.281826,-0.07118338
Blue 20-2,-56.16069,-314.2486,13.05994,7.534723,5.661606,-3.180294,-0.05041455
Blue 20-3,-57.95173,-312.8269,13.66774,6.366379,4.417949,-4.048786,0.1696174
Blue 21-1,-82.12455,-295.7882,-11.18474,-13.75549,-15.69902,-10.01074,-0.4947873
Blue 21-2,-53.78061,-313.7599,-12.25595,5.087696,4.369009,-3.414595,0.1747085
Blue 21-3,-53.81106,-313.4277,-11.73841,5.107203,4.405342,-3.077619,0.2909495
Blue 22-1,-53.49501,-313.0583,8.985868,8.17221,6.895358,0.4542086,0.7354167
