,Intensity W11.3,,C:\Users\Brend\Desktop\LED Spectras v2\Spectrometer Data (White 1-34.2).sp,,,W11.3
,2.698,,2018-06-18 10:57:55,,Integration Time,283 ms
,2.694,,Analyze Light,,Number of Scans to Average,25
,2.689,,,,Smoothing,1
,2.706,,,,,
,2.733,,,,,
,2.765,,,,,
,2.781,,,,,
,2.788,,,,,
,2.791,,,,,
,2.805,,,,,
,2.83,,,,,
,2.84,,,,,
,2.855,,,,,
,2.878,,,,,
,2.909,,,,,
,2.906,,,,,
,2.89,,,,,
,2.87,,,,,
,2.884,,,,,
,2.911,,,,,
,2.952,,,,,
,2.986,,,,,
,3.007,,,,,
,3.014,,,,,
,3.019,,,,,
,3.026,,,,,
,3.041,,,,,
,3.059,,,,,
,3.099,,,,,
,3.138,,,,,
,3.172,,,,,
,3.182,,,,,
,3.186,,,,,
,3.176,,,,,
,3.177,,,,,
,3.172,,,,,
,3.178,,,,,
,3.183,,,,,
,3.201,,,,,
,3.213,,,,,
,3.222,,,,,
,3.215,,,,,
,3.237,,,,,
,3.253,,,,,
,3.279,,,,,
,3.289,,,,,
,3.311,,,,,
,3.327,,,,,
,3.346,,,,,
,3.367,,,,,
,3.387,,,,,
,3.394,,,,,
,3.401,,,,,
,3.415,,,,,
,3.426,,,,,
,3.425,,,,,
,3.436,,,,,
,3.462,,,,,
,3.498,,,,,
,3.526,,,,,
,3.557,,,,,
,3.577,,,,,
,3.598,,,,,
,3.606,,,,,
,3.619,,,,,
,3.622,,,,,
,3.644,,,,,
,3.656,,,,,
,3.681,,,,,
,3.7,,,,,
,3.727,,,,,
,3.735,,,,,
,3.741,,,,,
,3.75,,,,,
,3.78,,,,,
,3.815,,,,,
,3.839,,,,,
,3.844,,,,,
,3.837,,,,,
,3.828,,,,,
,3.822,,,,,
,3.829,,,,,
,3.838,,,,,
,3.84,,,,,
,3.853,,,,,
,3.889,,,,,
,3.956,,,,,
,3.979,,,,,
,3.982,,,,,
,3.952,,,,,
,3.944,,,,,
,3.936,,,,,
,3.943,,,,,
,3.952,,,,,
,3.97,,,,,
,3.995,,,,,
,4.034,,,,,
,4.065,,,,,
,4.094,,,,,
,4.101,,,,,
,4.113,,,,,
,4.103,,,,,
,4.109,,,,,
,4.114,,,,,
,4.131,,,,,
,4.145,,,,,
,4.184,,,,,
,4.222,,,,,
,4.248,,,,,
,4.254,,,,,
,4.27,,,,,
,4.283,,,,,
,4.29,,,,,
,4.294,,,,,
,4.297,,,,,
,4.293,,,,,
,4.297,,,,,
,4.321,,,,,
,4.357,,,,,
,4.374,,,,,
,4.392,,,,,
,4.385,,,,,
,4.408,,,,,
,4.432,,,,,
,4.471,,,,,
,4.482,,,,,
,4.499,,,,,
,4.513,,,,,
,4.542,,,,,
,4.559,,,,,
,4.593,,,,,
,4.606,,,,,
,4.616,,,,,
,4.626,,,,,
,4.657,,,,,
,4.678,,,,,
,4.695,,,,,
,4.693,,,,,
,4.708,,,,,
,4.71,,,,,
,4.727,,,,,
,4.732,,,,,
,4.743,,,,,
,4.741,,,,,
,4.748,,,,,
,4.744,,,,,
,4.75,,,,,
,4.754,,,,,
,4.786,,,,,
,4.813,,,,,
,4.836,,,,,
,4.835,,,,,
,4.832,,,,,
,4.83,,,,,
,4.856,,,,,
,4.881,,,,,
,4.912,,,,,
,4.915,,,,,
,4.924,,,,,
,4.931,,,,,
,4.95,,,,,
,4.962,,,,,
,4.974,,,,,
,4.976,,,,,
,4.974,,,,,
,4.957,,,,,
,4.965,,,,,
,4.962,,,,,
,4.979,,,,,
,4.987,,,,,
,5.023,,,,,
,5.043,,,,,
,5.076,,,,,
,5.088,,,,,
,5.1,,,,,
,5.098,,,,,
,5.118,,,,,
,5.141,,,,,
,5.174,,,,,
,5.193,,,,,
,5.218,,,,,
,5.225,,,,,
,5.256,,,,,
,5.3,,,,,
,5.385,,,,,
,5.458,,,,,
,5.504,,,,,
,5.515,,,,,
,5.525,,,,,
,5.564,,,,,
,5.638,,,,,
,5.712,,,,,
,5.781,,,,,
,5.836,,,,,
,5.917,,,,,
,5.994,,,,,
,6.084,,,,,
,6.174,,,,,
,6.29,,,,,
,6.395,,,,,
,6.499,,,,,
,6.596,,,,,
,6.701,,,,,
,6.805,,,,,
,6.919,,,,,
,7.037,,,,,
,7.163,,,,,
,7.289,,,,,
,7.434,,,,,
,7.584,,,,,
,7.771,,,,,
,7.973,,,,,
,8.183,,,,,
,8.356,,,,,
,8.522,,,,,
,8.688,,,,,
,8.879,,,,,
,9.081,,,,,
,9.297,,,,,
,9.52,,,,,
,9.773,,,,,
,10.034,,,,,
,10.317,,,,,
,10.579,,,,,
,10.854,,,,,
,11.114,,,,,
,11.399,,,,,
,11.69,,,,,
,12.007,,,,,
,12.325,,,,,
,12.666,,,,,
,13.033,,,,,
,13.424,,,,,
,13.828,,,,,
,14.232,,,,,
,14.625,,,,,
,15.021,,,,,
,15.437,,,,,
,15.897,,,,,
,16.356,,,,,
,16.82,,,,,
,17.289,,,,,
,17.782,,,,,
,18.301,,,,,
,18.843,,,,,
,19.42,,,,,
,20.018,,,,,
,20.609,,,,,
,21.224,,,,,
,21.84,,,,,
,22.478,,,,,
,23.127,,,,,
,23.801,,,,,
,24.497,,,,,
,25.187,,,,,
,25.917,,,,,
,26.706,,,,,
,27.559,,,,,
,28.47,,,,,
,29.406,,,,,
,30.379,,,,,
,31.376,,,,,
,32.408,,,,,
,33.476,,,,,
,34.591,,,,,
,35.764,,,,,
,37.011,,,,,
,38.313,,,,,
,39.678,,,,,
,41.11,,,,,
,42.616,,,,,
,44.199,,,,,
,45.836,,,,,
,47.518,,,,,
,49.257,,,,,
,51.037,,,,,
,52.872,,,,,
,54.745,,,,,
,56.718,,,,,
,58.772,,,,,
,60.878,,,,,
,63.019,,,,,
,65.175,,,,,
,67.326,,,,,
,69.448,,,,,
,71.553,,,,,
,73.685,,,,,
,75.846,,,,,
,77.996,,,,,
,80.08,,,,,
,82.029,,,,,
,83.774,,,,,
,85.276,,,,,
,86.51,,,,,
,87.543,,,,,
,88.426,,,,,
,89.196,,,,,
,89.87,,,,,
,90.451,,,,,
,90.934,,,,,
,91.326,,,,,
,91.629,,,,,
,91.858,,,,,
,92.021,,,,,
,92.115,,,,,
,92.15,,,,,
,92.121,,,,,
,92.045,,,,,
,91.915,,,,,
,91.74,,,,,
,91.505,,,,,
,91.213,,,,,
,90.828,,,,,
,90.366,,,,,
,89.829,,,,,
,89.23,,,,,
,88.561,,,,,
,87.803,,,,,
,86.94,,,,,
,85.913,,,,,
,84.691,,,,,
,83.259,,,,,
,81.64,,,,,
,79.908,,,,,
,78.164,,,,,
,76.452,,,,,
,74.793,,,,,
,73.138,,,,,
,71.542,,,,,
,69.996,,,,,
,68.522,,,,,
,67.111,,,,,
,65.77,,,,,
,64.512,,,,,
,63.312,,,,,
,62.198,,,,,
,61.13,,,,,
,60.126,,,,,
,59.197,,,,,
,58.374,,,,,
,57.637,,,,,
,56.933,,,,,
,56.251,,,,,
,55.633,,,,,
,55.086,,,,,
,54.6,,,,,
,54.137,,,,,
,53.695,,,,,
,53.249,,,,,
