,Intensity B37.1,,C:\Users\Brend\Desktop\LED Spectras v2\Spectrometer Data (Blue [25.3-37]).sp,,,B37.1
,1.961,,2018-06-18 15:11:12,,Integration Time,126 ms
,1.954,,Analyze Light,,Number of Scans to Average,25
,1.949,,,,Smoothing,1
,1.957,,,,,
,1.974,,,,,
,1.988,,,,,
,1.995,,,,,
,1.992,,,,,
,1.988,,,,,
,1.992,,,,,
,2.002,,,,,
,2.011,,,,,
,2.023,,,,,
,2.04,,,,,
,2.056,,,,,
,2.052,,,,,
,2.041,,,,,
,2.03,,,,,
,2.035,,,,,
,2.046,,,,,
,2.067,,,,,
,2.087,,,,,
,2.098,,,,,
,2.101,,,,,
,2.107,,,,,
,2.118,,,,,
,2.129,,,,,
,2.137,,,,,
,2.152,,,,,
,2.166,,,,,
,2.178,,,,,
,2.179,,,,,
,2.174,,,,,
,2.159,,,,,
,2.152,,,,,
,2.147,,,,,
,2.149,,,,,
,2.154,,,,,
,2.163,,,,,
,2.173,,,,,
,2.177,,,,,
,2.177,,,,,
,2.187,,,,,
,2.195,,,,,
,2.204,,,,,
,2.207,,,,,
,2.218,,,,,
,2.23,,,,,
,2.24,,,,,
,2.251,,,,,
,2.255,,,,,
,2.259,,,,,
,2.261,,,,,
,2.263,,,,,
,2.261,,,,,
,2.258,,,,,
,2.263,,,,,
,2.274,,,,,
,2.285,,,,,
,2.294,,,,,
,2.303,,,,,
,2.312,,,,,
,2.325,,,,,
,2.332,,,,,
,2.34,,,,,
,2.344,,,,,
,2.358,,,,,
,2.369,,,,,
,2.385,,,,,
,2.398,,,,,
,2.414,,,,,
,2.416,,,,,
,2.417,,,,,
,2.418,,,,,
,2.434,,,,,
,2.452,,,,,
,2.466,,,,,
,2.465,,,,,
,2.459,,,,,
,2.457,,,,,
,2.461,,,,,
,2.468,,,,,
,2.47,,,,,
,2.467,,,,,
,2.472,,,,,
,2.491,,,,,
,2.526,,,,,
,2.539,,,,,
,2.541,,,,,
,2.53,,,,,
,2.527,,,,,
,2.521,,,,,
,2.52,,,,,
,2.521,,,,,
,2.529,,,,,
,2.541,,,,,
,2.56,,,,,
,2.575,,,,,
,2.59,,,,,
,2.596,,,,,
,2.603,,,,,
,2.598,,,,,
,2.598,,,,,
,2.594,,,,,
,2.598,,,,,
,2.599,,,,,
,2.613,,,,,
,2.63,,,,,
,2.646,,,,,
,2.653,,,,,
,2.662,,,,,
,2.666,,,,,
,2.664,,,,,
,2.66,,,,,
,2.66,,,,,
,2.658,,,,,
,2.663,,,,,
,2.673,,,,,
,2.688,,,,,
,2.695,,,,,
,2.704,,,,,
,2.7,,,,,
,2.71,,,,,
,2.719,,,,,
,2.737,,,,,
,2.744,,,,,
,2.752,,,,,
,2.762,,,,,
,2.777,,,,,
