,Intensity W21.1,,C:\Users\Brend\Desktop\LED Spectras v2\Spectrometer Data (White 1-34.2).sp,,,W21.1
,2.367,,2018-06-18 10:58:30,,Integration Time,212 ms
,2.362,,Analyze Light,,Number of Scans to Average,25
,2.354,,,,Smoothing,1
,2.366,,,,,
,2.387,,,,,
,2.409,,,,,
,2.421,,,,,
,2.425,,,,,
,2.425,,,,,
,2.434,,,,,
,2.451,,,,,
,2.461,,,,,
,2.477,,,,,
,2.499,,,,,
,2.523,,,,,
,2.516,,,,,
,2.503,,,,,
,2.49,,,,,
,2.503,,,,,
,2.523,,,,,
,2.555,,,,,
,2.578,,,,,
,2.59,,,,,
,2.592,,,,,
,2.597,,,,,
,2.604,,,,,
,2.619,,,,,
,2.636,,,,,
,2.668,,,,,
,2.693,,,,,
,2.717,,,,,
,2.725,,,,,
,2.727,,,,,
,2.714,,,,,
,2.706,,,,,
,2.695,,,,,
,2.695,,,,,
,2.697,,,,,
,2.712,,,,,
,2.728,,,,,
,2.736,,,,,
,2.734,,,,,
,2.745,,,,,
,2.759,,,,,
,2.783,,,,,
,2.8,,,,,
,2.823,,,,,
,2.836,,,,,
,2.846,,,,,
,2.858,,,,,
,2.87,,,,,
,2.877,,,,,
,2.884,,,,,
,2.894,,,,,
,2.9,,,,,
,2.894,,,,,
,2.896,,,,,
,2.91,,,,,
,2.933,,,,,
,2.952,,,,,
,2.97,,,,,
,2.985,,,,,
,3.005,,,,,
,3.017,,,,,
,3.03,,,,,
,3.032,,,,,
,3.049,,,,,
,3.061,,,,,
,3.088,,,,,
,3.109,,,,,
,3.139,,,,,
,3.149,,,,,
,3.157,,,,,
,3.162,,,,,
,3.189,,,,,
,3.218,,,,,
,3.24,,,,,
,3.245,,,,,
,3.238,,,,,
,3.23,,,,,
,3.223,,,,,
,3.228,,,,,
,3.23,,,,,
,3.229,,,,,
,3.242,,,,,
,3.281,,,,,
,3.343,,,,,
,3.369,,,,,
,3.373,,,,,
,3.354,,,,,
,3.347,,,,,
,3.339,,,,,
,3.34,,,,,
,3.346,,,,,
,3.359,,,,,
,3.375,,,,,
,3.402,,,,,
,3.42,,,,,
,3.44,,,,,
,3.445,,,,,
,3.46,,,,,
,3.457,,,,,
,3.469,,,,,
,3.471,,,,,
,3.482,,,,,
,3.483,,,,,
,3.507,,,,,
,3.532,,,,,
,3.554,,,,,
,3.561,,,,,
,3.57,,,,,
,3.579,,,,,
,3.586,,,,,
,3.592,,,,,
,3.599,,,,,
,3.595,,,,,
,3.598,,,,,
,3.613,,,,,
,3.644,,,,,
,3.661,,,,,
,3.678,,,,,
,3.674,,,,,
,3.694,,,,,
,3.709,,,,,
,3.73,,,,,
,3.734,,,,,
,3.746,,,,,
,3.757,,,,,
,3.78,,,,,
,3.796,,,,,
,3.822,,,,,
,3.828,,,,,
,3.831,,,,,
,3.839,,,,,
,3.871,,,,,
,3.896,,,,,
,3.917,,,,,
,3.915,,,,,
,3.92,,,,,
,3.916,,,,,
,3.93,,,,,
,3.94,,,,,
,3.957,,,,,
,3.958,,,,,
,3.964,,,,,
,3.959,,,,,
,3.962,,,,,
,3.963,,,,,
,3.989,,,,,
,4.012,,,,,
,4.037,,,,,
,4.04,,,,,
,4.041,,,,,
,4.038,,,,,
,4.054,,,,,
,4.07,,,,,
,4.099,,,,,
,4.114,,,,,
,4.137,,,,,
,4.154,,,,,
,4.17,,,,,
,4.179,,,,,
,4.194,,,,,
,4.199,,,,,
,4.203,,,,,
,4.189,,,,,
,4.198,,,,,
,4.197,,,,,
,4.213,,,,,
,4.223,,,,,
,4.255,,,,,
,4.273,,,,,
,4.294,,,,,
,4.307,,,,,
,4.322,,,,,
,4.331,,,,,
,4.35,,,,,
,4.369,,,,,
,4.392,,,,,
,4.401,,,,,
,4.417,,,,,
,4.419,,,,,
,4.445,,,,,
,4.472,,,,,
,4.538,,,,,
,4.595,,,,,
,4.631,,,,,
,4.635,,,,,
,4.635,,,,,
,4.652,,,,,
,4.7,,,,,
,4.747,,,,,
,4.795,,,,,
,4.826,,,,,
,4.879,,,,,
,4.928,,,,,
,4.984,,,,,
,5.039,,,,,
,5.12,,,,,
,5.194,,,,,
,5.271,,,,,
,5.332,,,,,
,5.399,,,,,
,5.463,,,,,
,5.541,,,,,
,5.621,,,,,
,5.705,,,,,
,5.791,,,,,
,5.899,,,,,
,6.004,,,,,
,6.136,,,,,
,6.267,,,,,
,6.414,,,,,
,6.533,,,,,
,6.659,,,,,
,6.78,,,,,
,6.92,,,,,
,7.067,,,,,
,7.218,,,,,
,7.371,,,,,
,7.55,,,,,
,7.744,,,,,
,7.957,,,,,
,8.145,,,,,
,8.335,,,,,
,8.521,,,,,
,8.728,,,,,
,8.949,,,,,
,9.197,,,,,
,9.442,,,,,
,9.7,,,,,
,9.966,,,,,
,10.255,,,,,
,10.559,,,,,
,10.872,,,,,
,11.184,,,,,
,11.498,,,,,
,11.819,,,,,
,12.17,,,,,
,12.53,,,,,
,12.897,,,,,
,13.261,,,,,
,13.649,,,,,
,14.056,,,,,
,14.499,,,,,
,14.968,,,,,
,15.457,,,,,
,15.928,,,,,
,16.399,,,,,
,16.875,,,,,
,17.368,,,,,
,17.875,,,,,
,18.399,,,,,
,18.936,,,,,
,19.489,,,,,
,20.056,,,,,
,20.658,,,,,
,21.288,,,,,
,21.954,,,,,
,22.645,,,,,
,23.356,,,,,
,24.093,,,,,
,24.854,,,,,
,25.64,,,,,
,26.441,,,,,
,27.274,,,,,
,28.152,,,,,
,29.076,,,,,
,30.041,,,,,
,31.047,,,,,
,32.109,,,,,
,33.225,,,,,
,34.391,,,,,
,35.584,,,,,
,36.834,,,,,
,38.126,,,,,
,39.466,,,,,
,40.85,,,,,
,42.311,,,,,
,43.859,,,,,
,45.474,,,,,
,47.149,,,,,
,48.865,,,,,
,50.607,,,,,
,52.387,,,,,
,54.225,,,,,
,56.161,,,,,
